,Unnamed: 0,Gender,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Stress_Level (1-10),Sleep_Hours_per_Night,Grade
840,840,Male,72.56,59.69,95.07,73.79,24,51.99,13.3,Yes,5,8.1,C
841,841,Female,57.45,93.52,55.75,66.79,89.6,72.28,9.7,No,5,7,D
842,842,Female,99.25,62.1,68.48,64.14,38.3,53.88,9.9,No,4,5.9,F
843,843,Female,94.46,83.46,68.22,83.97,28.3,65.79,15,No,5,6.7,C
844,844,Female,88.57,44.96,56.11,97.97,93.2,91.08,6.3,Yes,3,7.5,B
845,845,Female,70.58,75.47,54.91,79.05,19.7,82.81,17.2,No,1,5.1,D
846,846,Male,59.19,68.91,69.24,95.63,74.6,99.78,23.3,Yes,7,5.7,C
847,847,Male,97.07,98.68,99.6,50.71,65.3,58.61,18.3,No,10,5.3,D
848,848,Female,76.62,90.77,78.45,89.72,92,69.85,29.3,Yes,2,8.8,C
849,849,Female,92.62,67.29,81.09,92.68,83.2,90.48,16.5,No,8,4.2,C
850,850,Male,67.1,86.51,73.55,81.55,70.5,60.78,5.3,Yes,1,4.3,C
851,851,Male,66.76,51.58,83.12,96.7,31.5,57.69,16.8,Yes,6,5.8,C
852,852,Female,99.28,73.74,97.83,79.5,49.6,71.38,28.2,No,1,6.7,C
853,853,Female,76.09,44.48,79.43,62.03,94.4,69.19,7.4,Yes,8,5.6,C
854,854,Male,57.03,60.89,53.25,60.79,2.3,99.01,10.6,No,2,8.3,D
855,855,Male,60.98,53.55,74.64,77.79,79.4,72.81,22.9,No,8,4.8,D
856,856,Female,74.1,83.13,99.64,95.32,25.2,93.05,12.4,No,4,5.8,B
857,857,Male,52.12,69.41,69.37,53.62,18.5,94.4,24.1,No,3,6.4,D
858,858,Male,73.13,85.06,79.69,80.22,23.2,57.89,15.5,No,2,5,D
859,859,Female,70.95,70.92,55.33,88.49,6,85.77,24.9,No,4,5.5,C
860,860,Female,88.97,45.19,57.06,55.77,99.2,63.88,18.8,Yes,10,8.7,F
861,861,Female,67.75,84.12,93.73,55.84,87,54.74,7.1,No,10,6.6,C
862,862,Male,99.13,89.99,65.02,68.31,52.1,93.74,14.7,No,2,8.3,C
863,863,Female,59.04,94.21,65.27,63.69,71.5,64.62,13.3,No,3,5.3,D
864,864,Male,79.55,74.32,69.36,59.92,55.7,67.27,25.3,Yes,2,7.1,D
865,865,Female,54.48,85.22,98.32,59.93,81.2,66.2,20.6,No,2,7.8,C
866,866,Female,86.69,85.12,54.22,56.53,84.5,60.01,24.4,Yes,10,6.1,D
867,867,Male,99.74,49.34,90.94,80.54,23.3,71.73,14.3,No,9,7.1,C
868,868,Male,90.96,49.85,67.08,84.41,46,71.41,22.3,Yes,1,8.3,C
869,869,Female,77.79,44.25,92.47,85.15,63.5,70.44,6.6,No,3,4.7,C
870,870,Female,74.24,59.19,99.59,76.62,97.8,95.81,5.9,Yes,1,5.8,C
871,871,Male,91.75,68.41,67.43,97.65,68.3,66.99,12.2,Yes,3,8.1,C
872,872,Female,96.8,99.87,56.47,94.03,89.8,51.52,24.3,Yes,1,5.2,C
873,873,Male,99.46,65.86,57.22,97.88,84.6,58.92,18.4,Yes,9,6.8,C
874,874,Male,69.83,83.57,87.94,69.44,58.2,86.07,15.2,No,5,6.2,C
875,875,Female,99.55,81.6,57.25,93.89,89.4,79.54,27.4,Yes,4,7.3,C
876,876,Male,57.8,52.27,63.02,88.14,37.7,97.59,17.4,No,8,7.3,C
877,877,Male,62.68,43.51,60.22,67,37.9,84.72,20.3,No,1,6.9,D
878,878,Male,54.45,72.76,67.78,55.33,78.1,59.71,29.6,Yes,9,8.7,D
879,879,Female,63.59,82.02,53.72,84.13,13.5,56.03,18.1,No,2,4.9,D
880,880,Male,88.4,99.9,92.84,56.82,30.6,76.04,24.6,Yes,8,8.2,B
881,881,Female,92.65,61.52,93.01,64.69,60.9,83.26,15.3,Yes,7,6.4,C
882,882,Female,88.94,93.78,70.65,75.02,42,58.28,5.9,No,10,7.3,D
883,883,Female,81.55,62.92,80.6,83.99,94.1,80.08,25.9,No,2,5.4,C
884,884,Male,75.7,81.36,82.1,96.31,95.9,93.25,28.6,No,10,4.5,B
885,885,Male,85.44,75.9,87.46,79.66,50.3,86.38,15.9,Yes,10,7.9,B
886,886,Female,69.54,43.18,76.03,83.57,53.9,83.21,17.6,No,6,5.3,C
887,887,Female,92.07,44.7,75.52,65.5,72.5,89.47,15.6,Yes,5,6,D
888,888,Male,83.86,41.25,81.57,84.36,45.7,55.2,29.9,Yes,7,4.2,D
889,889,Female,84.89,62.25,85.15,71.89,19,60.19,27.6,Yes,2,7.3,D
890,890,Female,76.8,84.75,67.33,92.85,74.7,51.9,6,No,10,7.4,C
891,891,Male,94.26,50.37,66.52,69.62,73.8,57.25,24.5,No,9,8.5,D
892,892,Female,62.6,76.35,63.49,73.41,24.5,95.66,20,No,3,8.5,C
893,893,Male,69.06,57.33,77.44,71.63,83.3,61.11,5.6,No,1,7.5,D
894,894,Male,88.88,87.82,68.01,90.56,61.4,83.1,16.1,No,8,5.6,C
895,895,Female,74.64,87.9,77.02,97.68,23.6,84.58,8.7,Yes,7,5.9,C
896,896,Male,94.46,86.52,70.3,66.36,65.2,82.27,26.8,Yes,7,5.9,D
897,897,Male,67.32,71.49,91.84,73.75,23.4,77.7,5.3,No,4,4.6,C
898,898,Male,68.47,57.07,53.66,85.3,26.5,74.31,26.8,Yes,10,8.7,D
899,899,Female,94.44,88.57,78.61,94.77,84.8,71,28.5,Yes,3,8.1,B
900,900,Female,73.22,51.17,78.78,74.69,92.9,95.84,6.8,Yes,9,4.7,C
901,901,Female,75.81,57.39,69.19,55.44,25.7,50.48,23,No,3,8.7,F
902,902,Male,66.64,51.04,71.05,68.43,92.8,52.67,18.7,No,7,8.2,D
903,903,Male,63.83,80.45,90.01,77.52,23.9,74.63,28.9,Yes,7,8.6,D
904,904,Female,82.8,81.17,64.03,70.88,11.7,66.53,25,Yes,10,5.4,C
905,905,Female,55.99,79.15,93.57,59.33,5.8,70.41,22.4,Yes,7,5.7,D
906,906,Male,93.96,64.94,94.82,51.85,24.2,99.89,28.1,Yes,1,6.3,C
907,907,Female,88.96,46.01,82.53,84.37,38.5,88.76,9,No,10,5.1,B
908,908,Female,59.54,94.67,88.64,99.64,92.8,93.87,14.4,No,2,6.3,B
909,909,Female,84.7,70.46,80.65,95.96,24.2,68.43,26.1,Yes,2,4,D
910,910,Female,80.13,64.42,76.26,84.16,36.5,61.98,7.5,Yes,3,8.4,D
911,911,Female,59.23,75.33,98.33,92.08,73.4,88.4,28.4,No,4,4.8,B
912,912,Male,63.66,51.57,64.13,62.79,30.2,90.38,23.6,No,1,6.5,D
913,913,Female,70.45,47.95,57.71,81.12,68.4,77.49,16,No,5,8.6,D
914,914,Female,84.96,64.33,64.37,53.03,43.2,94.8,13.5,Yes,1,8.1,C
915,915,Male,81.94,53.63,80.73,85.36,19.6,98.37,8.7,Yes,7,7.9,B
916,916,Male,76.61,54.66,59.26,98.49,73.4,73.55,7.3,No,7,7,D
917,917,Male,88.42,93.55,95.44,93.04,2.7,61.13,15.6,No,2,6.2,D
918,918,Male,87.9,71.85,70.55,76.72,29.2,75.86,26.1,No,4,6.2,D
919,919,Female,80.89,69.01,92.5,89.44,35.6,99.48,18.3,Yes,9,4.4,B
920,920,Female,89.35,81.37,62.46,97.19,45.8,64.65,16.3,Yes,1,4.3,D
921,921,Female,66.71,97.09,65.66,60.8,68,80.88,13,No,10,8.2,B
922,922,Female,94.06,46.73,52.96,89.66,45.9,84.7,8.9,No,6,6,C
923,923,Male,80.75,90.01,62.89,63.49,59.4,60.7,29.8,Yes,10,4.3,D
924,924,Male,91.12,75.04,74.52,93.85,59.6,79.42,5.6,Yes,1,7.3,C
925,925,Female,77.31,48.77,97.31,54.92,37.3,65.73,12.8,Yes,6,7.4,D
926,926,Female,60.92,57.83,69.45,58.91,93.4,92.71,24.2,Yes,1,5.1,C
927,927,Female,77.12,68.94,81.99,86.03,95.6,85.74,18,Yes,3,6.1,C
928,928,Female,68.56,81.47,71.39,58.74,58.2,91.31,12.8,No,4,6.9,C
929,929,Male,84.87,54.56,52.34,57.9,7.2,59.98,29.8,Yes,10,7,F
930,930,Female,73.79,72.09,75.18,77.77,49.1,51.73,20.5,No,5,6.6,D
931,931,Male,91.81,81.08,53.3,91.75,18.4,92.53,12.4,Yes,7,5.8,C
932,932,Male,83.9,66.92,94.18,63.42,48.3,69.34,26.2,No,2,4.3,C
933,933,Male,84.23,91.78,87.65,92.06,18.8,58.99,8.8,No,6,4.1,C
934,934,Male,60.86,92.17,68.93,90.4,70.4,54.59,16.6,No,4,6.3,D
935,935,Female,99.21,68.24,82.01,78.96,8,75.83,26,Yes,6,5,D
936,936,Female,92.08,98.38,55.6,82.33,95.3,57.51,29.6,No,7,8.7,C
937,937,Female,89.45,44.54,85.13,52.02,19.5,78.33,14.6,No,7,7.2,C
938,938,Female,66.51,40.2,91.14,68.36,66.1,86.37,8.5,No,5,6.9,C
939,939,Male,76.78,62.84,91.09,63.17,91.7,76.75,19.2,Yes,7,6,B
940,940,Male,56.86,76.07,64.21,57.5,24.8,95.18,28.6,Yes,3,5.6,C
941,941,Male,76.92,77.75,63.19,69.48,93.4,57.78,21.6,Yes,10,4.9,D
942,942,Female,57.29,68.59,76.07,67.75,38.9,74.7,20.1,No,5,4.3,C
943,943,Male,77.65,47.49,98.39,86.44,96.1,58.16,12.7,No,5,7.2,C
944,944,Male,82.44,50.23,96.03,79.9,97.1,93.8,20.2,No,2,7.9,C
945,945,Male,69.51,91.13,67.98,95.66,18.8,96.61,27.1,No,4,8.3,B
946,946,Male,74.93,92.07,88.99,57.27,83.1,70,14.4,Yes,2,7.6,D
947,947,Female,93.78,80.43,96.07,52.99,19.3,65.29,11.1,No,9,8.5,D
948,948,Male,55.43,79.85,63.05,76.73,22.6,63.97,17,No,9,8.9,D
949,949,Male,89.59,75.86,91.51,50.05,8.4,92.99,14.4,No,1,8.8,C
950,950,Female,58.54,52.18,63.39,89.39,15.7,84.12,16.7,No,2,7,D
951,951,Female,51.84,65.7,67.16,75.3,63.2,94.03,7.4,Yes,8,5.1,C
952,952,Female,59.28,81.75,59.94,74.4,44.9,55.88,13.4,Yes,3,4.5,D
953,953,Male,88.25,72.24,75.35,68.12,79.1,73.8,25.7,Yes,3,9,C
954,954,Male,70.26,41.11,92.17,68.75,33.2,83.81,15,Yes,10,5.5,C
955,955,Male,93.63,97.21,76.4,71.56,96.9,94.85,29.2,No,6,4.2,B
956,956,Male,76.24,90.69,56.17,50.8,5,69.1,22.7,Yes,5,6,D
957,957,Female,51.11,55.63,62.59,54.18,6.3,65.65,14.2,Yes,4,7.7,D
958,958,Male,85.84,76.99,78.14,75.25,70.1,95.65,11.3,Yes,7,8.5,B
959,959,Male,55.51,95.39,79.16,57.51,88.8,52.38,22.1,Yes,1,6.4,D
960,960,Female,89.47,45.76,78.85,88.94,79.6,73.98,12.6,No,1,5.5,D
961,961,Female,58.41,70.18,53.85,63.72,49,72.93,28.2,No,1,7.9,D
962,962,Female,67.27,67.37,87.68,54.89,27,57.3,7.9,No,8,6.5,D
963,963,Male,88.06,64.61,95.47,61.76,1.3,69.75,5.7,No,9,4.4,C
964,964,Male,97.71,90.14,75.53,67.85,50.9,86.13,10.5,Yes,3,8.4,B
965,965,Male,68.57,62.84,85.94,51.77,47.6,68.34,20.2,Yes,1,7.3,C
966,966,Male,91.47,43.82,95.7,57.08,34.4,65.48,25.9,No,9,4.2,D
967,967,Male,59.54,43.95,82.13,66.19,57.8,89.09,9.3,Yes,3,4,C
968,968,Female,90.36,42.56,83.72,65.52,72.9,99.44,19.6,No,9,4.4,C
969,969,Female,82.87,64.55,86.07,90.02,70.1,88.97,8.6,Yes,4,8.1,C
970,970,Male,59.64,83.1,63.03,92.16,26.3,92.32,19.1,No,1,6.4,B
971,971,Male,65.13,52.22,79.13,59.67,58.5,96.98,5.5,No,5,5.7,D
972,972,Male,56.59,78.79,92.11,56.2,14.9,90.09,18.9,No,7,5.2,C
973,973,Male,69.15,81.23,64.81,81.71,12.2,99.02,18,Yes,6,6.5,B
974,974,Male,60.18,55.31,94.86,90.23,78.6,87.36,6.1,No,4,4.4,B
975,975,Female,82.2,76.03,81.02,98.19,69.4,83.08,22.2,No,10,7.1,C
976,976,Female,99.73,81.09,71.16,50.34,76.8,84.67,19.3,No,8,5.9,C
977,977,Female,50.6,68,81.16,70.68,15.2,95,20.6,No,10,8.3,B
978,978,Male,77.05,60.2,70.09,86.7,91.5,84.15,18.2,Yes,10,7.8,B
979,979,Male,78.68,77.15,91.9,91.43,13.3,88.06,23,Yes,1,4.1,B
980,980,Female,95.71,98.67,74.12,53.11,87,60.8,18.1,Yes,4,4.8,C
981,981,Female,75.3,65.61,95.06,84.03,35.2,95.63,28.1,No,7,6.4,C
982,982,Male,77.19,63.5,75.49,64.45,10.5,72.36,28.6,No,6,7.3,C
983,983,Female,73.58,67.86,83.02,53.73,28.7,58.05,23.2,No,1,7.6,D
984,984,Female,63.45,44.57,99.89,74.46,18.1,89.99,27.8,No,5,8.1,C
985,985,Male,52.8,73.19,57.35,57.91,49.1,67.82,28.1,No,6,4.2,C
986,986,Female,70.43,59.72,86.84,86.85,95,59.21,11.5,Yes,10,4.1,D
987,987,Female,52.63,47.29,56.94,87.06,32.8,62.81,29.8,Yes,9,7,F
988,988,Female,77.52,67.98,91.94,92.1,61.2,51.75,11.7,No,5,7.6,C
989,989,Male,65.36,40.2,79.82,68.88,89.2,54.53,5.5,No,5,7.9,F
990,990,Female,76.68,64.11,96.91,50.67,63,79.63,29.1,No,8,4.8,C
991,991,Female,56.71,46.34,93.3,62.99,36.2,93.31,10.6,No,6,8.8,D
992,992,Female,96.63,41.46,53.74,73.39,99.1,72.43,19.6,No,10,5.1,D
993,993,Male,94.73,89.47,56.87,84.7,18.7,81.3,29.3,No,8,5.3,C
994,994,Male,59.5,94.97,80.06,69.1,52.3,90.49,6.2,Yes,6,4.8,B
995,995,Female,67.17,52.46,75.92,76.8,79.7,67.84,11.7,No,9,4.2,D
996,996,Male,80.67,72.36,58.43,76.21,0.1,82.72,20.2,Yes,8,8,D
997,997,Female,54.78,56.68,56.47,58.25,70.2,67.52,24.1,Yes,8,4,D
998,998,Male,67.73,69.61,78.2,81.15,26.6,82.14,25.2,No,1,6.3,C
999,999,Male,62.56,66.2,52.45,71.96,17,60.88,27.1,Yes,4,4.5,D
1000,1000,Female,95.78,56.14,93.69,90.4,27.4,98.89,9.2,No,2,4.2,B
1001,1001,Female,92.63,82.02,90.35,84.53,96.7,53.81,14.3,No,7,8.7,D
1002,1002,Female,78.99,47.59,89.27,55.57,89.2,75.26,22.9,No,10,8.1,C
1003,1003,Male,76.02,43.18,50.8,74.44,21.4,64.31,22.9,No,6,6,D
1004,1004,Female,96.54,86.06,52.38,85.12,11.7,80.04,12.7,Yes,7,6.3,C
1005,1005,Male,96.62,79.96,77.49,54.35,36.4,71.42,12.6,No,5,8.3,D
1006,1006,Male,98.47,69.91,99.72,89.62,59.2,65.33,13,Yes,3,8,C
1007,1007,Female,56.27,68.07,67.12,61.1,86.7,62.5,27.3,Yes,4,7.5,D
1008,1008,Male,58.03,69.84,67.22,75.15,96.6,59.12,27.7,No,10,6.7,D
1009,1009,Female,83.84,66.22,56.71,97.03,75.1,89.14,5.4,No,1,7,C
1010,1010,Male,77.07,63.57,83.72,78.57,59.9,61.11,13.1,No,5,6,C
1011,1011,Female,50.92,69.98,82.33,71.2,14.2,88.68,14.8,Yes,6,6.6,D
1012,1012,Male,53.1,71.71,55.07,50.34,7.4,74.25,29.6,No,7,6.7,D
1013,1013,Male,94.4,81.51,73.37,56.67,59.6,53.61,28.6,No,8,8.3,D
1014,1014,Female,93.44,82.67,83.35,78.93,53.9,58.27,20.7,No,5,5.1,C
1015,1015,Male,67.86,62.66,74.68,74.69,84.6,94.65,6.1,Yes,1,5.2,B
1016,1016,Female,94.55,64.81,83.72,68.19,32.3,80.14,9.8,Yes,5,5.1,D
1017,1017,Male,79.68,62.42,90.81,96.16,4,59.22,15.9,No,1,6.9,D
1018,1018,Male,90.3,72.19,84.29,66.62,42.4,85.19,29,No,8,7.5,D
1019,1019,Male,71.37,67.2,80.81,76.86,96.9,91.16,7.4,No,2,5.2,B
1020,1020,Female,55.67,93.38,92.68,78.44,79.6,66.53,24.8,No,2,7.4,B
1021,1021,Female,71.69,81.78,95.03,76.37,3.4,77.83,9.8,Yes,6,7.1,C
1022,1022,Female,72.86,93.92,69.44,73.88,87.5,64.67,17.7,Yes,9,5.6,D
1023,1023,Female,77.55,82.55,58.66,66.85,47.2,54,24.2,No,5,5.1,D
1024,1024,Female,55.28,98.26,90.89,95.44,36.5,69.98,22.3,Yes,6,8.4,B
1025,1025,Male,99.57,78.14,60.69,72.54,34.7,87.57,24.4,Yes,3,6.8,B
1026,1026,Male,62.21,97.81,96.45,76.42,59.5,72.93,25.3,No,9,7.5,B
1027,1027,Female,59.93,49.49,51.14,82.82,53.1,70.26,12.6,Yes,4,8.6,D
1028,1028,Male,76.34,43.15,96.06,53.38,65.7,68.3,14.1,No,6,5,D
1029,1029,Male,76.86,74.75,79.46,89.06,57.4,72.95,25.4,Yes,4,5.8,D
1030,1030,Male,71.99,99.01,88.74,75.63,14.4,65.91,6,No,6,6.2,C
1031,1031,Male,88.59,65.06,69.92,82.86,25.7,80.61,17.9,Yes,1,5.2,C
1032,1032,Female,75.83,52.72,99.59,88.6,84.1,53.18,28,No,1,8.2,D
1033,1033,Male,80.48,71.29,61.38,93.7,66.3,90.37,27.1,Yes,1,4.4,C
1034,1034,Female,86.19,78.93,63.22,69.61,44.8,58.66,25.1,Yes,10,5.2,F
1035,1035,Female,51.25,58.91,52.57,90.57,18.3,81.67,5.5,Yes,2,5,C
1036,1036,Male,78.53,82.89,97.02,62.94,0.8,72.49,27.2,No,7,8.8,D
1037,1037,Female,94.21,98.51,72.8,83.02,31.2,88.67,27.8,Yes,3,7.1,C
1038,1038,Male,50.87,93.82,83.74,55.14,5.5,91.31,21.6,Yes,1,7.6,C
1039,1039,Male,70.26,57.5,84.37,51,48.2,60.21,12.5,Yes,8,4.5,D
1040,1040,Male,96.31,59.6,93.73,54.79,82.2,83.86,17.2,Yes,8,5,C
1041,1041,Female,67.66,62.29,83.25,65.97,28.5,59.5,24.1,Yes,4,8,C
1042,1042,Female,72.94,63.67,78.1,51.55,84.8,56.2,25.3,Yes,7,6.8,D
1043,1043,Female,99.08,46.02,85.52,81.52,70.5,96.51,13.6,Yes,2,4.2,B
1044,1044,Male,59.97,85.72,87.55,65.83,12.5,58.22,13.2,No,6,6.8,D
1045,1045,Male,53.26,61.92,59.3,86.82,64.5,61.41,23.4,Yes,9,6.4,C
1046,1046,Male,92.97,92.79,55.48,52.3,15.2,56.52,22.2,Yes,7,4.8,F
1047,1047,Female,93.42,95.62,53.74,60.84,65.5,73.51,17.8,No,6,7,D
1048,1048,Male,73.6,41.47,68.7,70.4,14.3,95.98,15.5,No,10,4.9,C
1049,1049,Male,75.71,99.31,74.9,69.13,39.3,63.2,21.4,No,2,8.1,D
1050,1050,Female,91.79,82.6,80.78,56.55,56.7,77.09,5.8,No,4,7.1,D
1051,1051,Female,86.93,71.22,97.9,99.71,5,70.57,6.9,No,6,8.4,C
1052,1052,Female,63.26,63.37,66.54,64.22,15.3,66.8,19.3,No,5,6.1,D
1053,1053,Male,50.84,71.11,88.04,86.05,32,78.61,10.3,No,5,6.6,C
1054,1054,Male,73.99,59.48,76.57,61,46.2,77.94,24.4,No,4,7.8,C
1055,1055,Male,92.95,77.36,61,93.89,85.8,67.97,24.3,Yes,8,6.7,C
1056,1056,Female,94.79,45.58,80.77,69.39,18.7,92.53,22.7,No,8,6.9,C
1057,1057,Female,97.81,77.27,98.36,95.05,34.7,52.66,27.6,Yes,5,6.8,C
1058,1058,Female,93.98,56.52,56.22,67.09,47.6,54.26,8.5,No,7,6.5,D
1059,1059,Female,79,41.06,75.36,50.43,29.6,99.54,11.5,Yes,2,8,D
1060,1060,Male,72.23,73.16,52.58,75.85,62.6,87.38,11.3,Yes,3,6.4,D
1061,1061,Male,88.74,74.71,66.06,76.24,25.7,90.2,24.6,No,10,8.5,C
1062,1062,Male,86.99,65.59,81.03,55.99,77.2,80.14,18,No,9,8,C
1063,1063,Male,76.91,44.34,92.05,61.75,50.5,70.99,11.3,No,7,7.5,C
1064,1064,Male,54.37,93.6,86.52,89.17,8.6,81.46,8.4,No,6,8.5,C
1065,1065,Male,96.3,76.69,73.14,51.84,62.7,54.63,27.3,No,7,6.7,F
1066,1066,Male,72.78,46.94,95.46,74.48,56.9,87.89,22.3,No,6,8.1,C
1067,1067,Male,68.17,70.66,65.14,76.52,33.9,77.04,18.2,Yes,2,5.2,D
1068,1068,Female,81.48,69.84,87.7,84.44,1.1,97.84,29.1,Yes,3,4.4,B
1069,1069,Female,83.69,43.62,73.7,51.87,20.1,81.87,26.2,Yes,5,7.4,D
1070,1070,Male,60.53,76.41,94.93,79.28,40.6,57.58,9.5,Yes,2,5.5,C
1071,1071,Female,91.85,88.5,89.87,50.15,20,73.88,17.7,No,3,7.2,C
1072,1072,Male,64.5,84.94,95.07,63.26,57.7,52.89,17.2,No,7,4.4,C
1073,1073,Male,59.33,52.18,60.71,74.98,71.2,87.27,26.1,No,2,8.8,C
1074,1074,Female,70.32,91.74,83.41,95.56,85.6,75.09,8.7,Yes,6,6.6,B
1075,1075,Male,86.53,60.55,86.92,56.33,64.7,68.48,16.3,No,10,4,C
1076,1076,Male,98.27,96.79,87.12,58.46,68.9,98.43,20.9,No,5,6.4,B
1077,1077,Male,90.46,44.3,75.2,83.46,60.8,97.03,28.6,Yes,3,7.9,B
1078,1078,Male,97.02,69.17,50.56,68.74,98.5,97.64,27.5,No,8,8.3,B
1079,1079,Male,57.03,75.83,63.07,81.17,26.1,61.05,18.3,No,6,6.3,C
1080,1080,Male,53.56,54.86,66.17,99.87,26.6,86.43,20.2,No,9,4.6,C
1081,1081,Male,77.89,86.28,92.6,99.34,12.6,97.27,26.3,Yes,1,8.5,B
1082,1082,Female,64.51,77.61,92.04,67.69,48.6,78.54,23.6,Yes,3,8.9,C
1083,1083,Female,91.4,41.09,55.23,75.2,9.6,60.71,27,No,10,4.3,F
1084,1084,Male,83.6,76.5,97.49,95.23,27,90.89,27.4,Yes,8,4.4,C
1085,1085,Female,98.54,69.49,59.12,54.61,48.3,94,25.8,No,1,6.8,C
1086,1086,Male,62.74,51.76,70.72,72.62,95.8,85.16,5.2,Yes,8,6.7,D
1087,1087,Male,74.29,99.74,60.76,68.88,96.4,64.68,12.8,Yes,10,6.9,C
1088,1088,Male,75.06,93.83,93.02,64.74,74.4,59.53,15.1,Yes,5,5.6,C
1089,1089,Male,61.96,57.55,87.47,99.71,38.9,81.21,21.9,No,8,4.3,C
1090,1090,Female,79.5,72.46,67.68,86.68,86.5,74.14,12.7,Yes,10,6.9,C
1091,1091,Female,72.16,58.99,84.09,69.44,87.5,83.44,13.1,Yes,7,4.8,B
1092,1092,Female,72.34,86.53,59.22,91.45,91,55.58,15,Yes,9,5.7,C
1093,1093,Female,68.14,95.82,69.11,74.48,64,56.8,28.9,Yes,7,6.9,D
1094,1094,Male,50.85,61.53,68.86,93.64,20.2,68.14,15.9,Yes,4,5,D
1095,1095,Female,76.1,88.34,61.9,63.32,9.1,62.94,8.5,No,1,6.7,D
1096,1096,Male,66.76,69.9,93.82,61.18,91.5,80.97,5.2,No,2,7.6,C
1097,1097,Male,50.07,63.79,83.94,62.36,5.6,68.38,10.9,Yes,2,4.3,D
1098,1098,Female,65.4,96.31,64,76.92,29.6,84.2,28.5,No,1,7.1,C
1099,1099,Male,63.93,70.62,62.11,64.57,48.7,88.44,28.9,Yes,10,6.5,D
1100,1100,Female,69.67,68.04,50.9,57.36,2.2,59.36,18.2,No,7,4.5,D
1101,1101,Female,56.59,80.35,67.33,99.73,90.7,95.99,21.2,Yes,4,7.5,B
1102,1102,Female,75.38,55.67,76.34,95.02,28.7,89.36,24.9,Yes,10,5.6,C
1103,1103,Female,84.62,59.49,63.89,81.75,2.9,81.34,6.4,Yes,7,4.9,D
1104,1104,Female,81.51,95.92,85.02,94.58,99.4,95.45,14.4,Yes,8,5.4,A
1105,1105,Male,90.19,80.71,70.59,96.77,31.1,63.29,21.1,Yes,6,6.7,C
1106,1106,Female,72.6,89.6,65.82,83.81,87.7,71.09,27.5,Yes,8,6.9,D
1107,1107,Female,75.95,56.27,96.95,75.93,45.3,54.29,23.2,Yes,2,4.8,D
1108,1108,Male,90.52,72.63,63.14,94.1,66.3,72.81,13.8,No,1,8.7,C
1109,1109,Female,71.39,98.28,69.91,78.39,24.1,75.32,27.7,No,9,5.6,C
1110,1110,Female,85.08,59.12,69.11,56.34,50.3,80.8,21.6,No,9,5.3,C
1111,1111,Male,71.73,49.63,62.06,68.34,25.8,53.2,25.8,Yes,9,4.9,F
1112,1112,Male,70.89,70.65,60.87,72.3,95.1,51.62,14.6,Yes,4,4.6,D
1113,1113,Female,88.01,63.27,65.12,96.77,6.1,70.99,5.1,No,9,8.9,C
1114,1114,Male,58.74,49.57,93.21,82.96,27.5,59.46,9.2,No,9,7.4,D
1115,1115,Female,66.93,93.31,88.35,93.76,89.3,87.94,28.2,No,5,7.9,A
1116,1116,Male,61.21,99.44,84.05,87.88,48,83.44,5.8,Yes,1,6,C
1117,1117,Female,67.96,74.11,72.86,65.49,60,66.29,19.9,No,8,6.1,D
1118,1118,Female,61.52,86.48,75.39,85.94,65.2,52.29,15.2,Yes,1,8.9,C
1119,1119,Female,78.97,91.54,63.36,59.76,7.1,59.12,15.7,No,3,5,D
1120,1120,Male,89.91,82.06,53.72,70.41,1.8,84.58,15,No,3,5.6,D
1121,1121,Female,89.33,42.65,66.55,90.3,93.8,99.51,6.7,No,5,5,C
1122,1122,Male,68.23,49.46,74.78,80.6,27.2,66.32,8.1,No,5,5.4,C
1123,1123,Female,99.44,44.26,52.87,91.27,38,90.1,6.6,Yes,5,7.3,D
1124,1124,Female,79.69,40.59,54.41,62.74,68.2,93.35,6.3,No,4,5.5,D
1125,1125,Female,69.97,58.36,63.15,87.49,23.6,52.41,7.1,Yes,1,8.4,F
1126,1126,Female,91.78,63.54,68.35,60.12,73.3,95.81,22.4,Yes,4,4.2,B
1127,1127,Female,86.49,54.46,69.67,77.27,45.8,73.31,7.9,Yes,10,5.8,C
1128,1128,Male,87.46,43.88,55.89,71.68,85.7,98.21,11.5,Yes,8,8.3,C
1129,1129,Male,59.81,71.79,61.29,77.82,27.9,76.93,21.4,Yes,5,7.1,C
1130,1130,Male,73.42,56.4,63.08,56.78,20.4,61.76,7.8,No,7,7.9,F
1131,1131,Female,93.09,87.76,53.38,68.06,83.2,98.73,27.8,No,1,5.6,C
1132,1132,Female,75.2,40.48,66.3,83.35,32.6,62.17,16.9,No,5,5.8,D
1133,1133,Male,84.17,90.55,53.61,77.93,41.2,94.12,29.1,No,10,8.4,C
1134,1134,Female,79.4,97.29,85.17,77.45,79.4,58.66,9.8,Yes,8,7.7,C
1135,1135,Female,92.12,82.97,69.3,75.54,63.6,83.74,5.8,No,5,5.9,C
1136,1136,Female,64.23,84.02,66.34,97.19,44.2,70.56,19.8,No,1,5.1,D
1137,1137,Male,78.77,96.01,56.33,96.73,25,98.6,13.2,No,2,4.5,B
1138,1138,Male,56.16,52.54,61.33,68.01,76.4,59.24,19.3,Yes,6,8.3,D
1139,1139,Male,84.51,99.67,61.64,67.59,18,70.44,16.8,No,2,7.5,C
